id,earliest_cr_line,revol_bal,total_pymnt,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
136634,Dec-87,1196,10235.30514,10/1/2010,289.62,10/1/2010
137042,Mar-00,26628,6989.312454,10/1/2010,203.82,10/1/2010
137106,Nov-91,6752,4382.295761,1/1/2008,4105.9,10/1/2007
137271,3-Sep,458,2313.97,6/1/2008,70.25,5/1/2016
137965,Feb-98,16786,9013.504593,2/1/2010,2222.28,1/1/2011
138557,Feb-81,7336,9474.504091,10/1/2010,265.32,10/1/2010
138568,Aug-97,7089,3767.310996,10/1/2010,114.05,10/1/2010
139057,Oct-93,18388,6207.582068,9/1/2010,12.81,9/1/2010
139657,2-Jul,613,1393.109735,11/1/2010,40.85,7/1/2013
139790,4-Sep,566,3597.734061,12/1/2009,100.35,5/1/2016
139968,1-Sep,9166,12074.02691,7/1/2010,1333.8,4/1/2012
139980,May-94,5406,4820.71,3/1/2010,163.49,8/1/2010
140036,1-Nov,1188,868.81,1/1/2010,32.25,5/1/2016
140452,Dec-76,12003,3528.643953,10/1/2010,108.86,10/1/2010
140561,Aug-94,20511,520.03,5/1/2008,72.42,1/1/2009
140687,Sep-97,55720,3264.399986,11/1/2010,96.65,5/1/2016
140900,Oct-80,7744,8539.466798,4/1/2008,7501.59,10/1/2007
141041,Nov-92,51761,6095.488269,11/1/2010,171.85,10/1/2010
141676,3-Sep,579,6890.119612,12/1/2008,4427.01,9/1/2015
141774,Dec-82,34776,1605.3,8/1/2008,162.01,5/1/2016
142281,2-Aug,8047,7850.413498,5/1/2009,3995.3,4/1/2016
142608,Jan-99,0,5931.806949,10/1/2010,490.01,9/1/2010
142618,Sep-00,409,5701.515761,11/1/2010,162.23,10/1/2010
142734,Apr-81,185,27752.44158,6/1/2009,13442.6,6/1/2009
142790,Jun-90,48251,5664.122277,6/1/2010,665.84,5/1/2016
143102,Sep-00,772,3499.046563,11/1/2010,98.93,11/1/2010
143128,May-99,1019,9504.997523,11/1/2010,273.47,4/1/2016
143566,May-92,8332,14566.08622,11/1/2010,405.99,10/1/2010
144579,Feb-91,1790,10461.78715,10/1/2008,7387.64,10/1/2008
144635,Jun-90,62739,9239.37,10/1/2008,839.95,5/1/2016
146564,Jan-95,29901,8094.3,5/1/2010,553.62,5/1/2016
146641,3-Jul,5867,8231.777527,2/1/2008,7703.28,10/1/2007
146671,1-Dec,10605,26131.73499,5/1/2008,22120.23,8/1/2009
146844,May-81,57196,12699.13,12/1/2011,100.2,12/1/2011
148473,May-94,481,4484.82,7/1/2009,500.11,1/1/2011
149575,3-Jul,2282,11121.68928,10/1/2009,19.94,10/1/2009
149754,4-Sep,3614,4708.201721,11/1/2010,135.81,5/1/2016
150940,Feb-89,14930,8174.02191,5/1/2010,1571.29,4/1/2016
151587,Jan-79,33989,22759.93342,11/1/2009,7966.24,11/1/2009
151607,3-Aug,1238,1664.724606,9/1/2008,1199.4,8/1/2008
151621,Apr-87,4746,20609.24655,11/1/2010,574.81,11/1/2010
152291,Jul-99,3470,5395.041887,11/1/2010,151.64,11/1/2010
152663,2-Dec,12640,3161.605037,6/1/2008,2581.97,1/1/2008
153022,Apr-85,368,3339.035809,10/1/2010,11.71,10/1/2010
153054,Feb-96,30597,6690.131289,7/1/2009,3044.55,8/1/2009
153235,Jan-94,8537,21380.72297,11/1/2010,597.57,10/1/2011
153434,3-Sep,15649,14204.69083,11/1/2010,306.13,8/1/2011
154141,May-72,4067,5417.794338,3/1/2009,3076.88,12/1/2010
154154,Mar-00,5836,5134.085288,8/1/2008,3891.08,8/1/2008
154286,Dec-93,24615,17586.45199,3/1/2011,573.03,2/1/2011
154305,Oct-93,7600,4198.854301,11/1/2010,117.97,1/1/2011
154776,2-Sep,9495,2009.43,8/1/2008,223.34,3/1/2015
155780,Jul-90,4921,5162.394223,1/1/2009,3214.98,1/1/2009
156021,Jul-98,11200,7775.636871,4/1/2012,73.03,3/1/2012
156417,Jul-87,2444,6208.942922,6/1/2008,5278.09,9/1/2013
156868,2-Feb,916,28482.75432,1/1/2011,812.73,12/1/2010
157169,Nov-97,148829,10361.33,12/1/2008,821.25,5/1/2016
157768,Dec-97,3209,4559.031276,12/1/2010,128.06,2/1/2011
158289,May-97,7570,10593.50755,12/1/2010,297.22,4/1/2016
158706,Dec-00,13126,14370.92225,2/1/2010,4259.11,5/1/2014
159468,Sep-95,66654,13399.12782,2/1/2009,8231.59,2/1/2009
159665,May-63,50,6432.31679,12/1/2010,183.83,12/1/2010
159713,2-Mar,3084,986.55,5/1/2011,29.16,5/1/2016
161187,Jul-92,2598,14773.99102,12/1/2009,5171.89,12/1/2009
163627,Jul-90,18168,4686.458561,12/1/2010,134.37,2/1/2013
163758,Mar-82,24218,3547.037137,12/1/2010,99.15,12/1/2010
164346,3-Nov,0,565.0251577,12/1/2010,33.16,11/1/2015
164741,Nov-87,72303,18832.94253,12/1/2010,526.15,12/1/2010
164792,4-Oct,1032,18920.57192,12/1/2008,12791.64,12/1/2008
166437,Dec-97,133,11289.55269,8/1/2010,116.25,4/1/2016
166534,2-Jan,34023,8877.15,4/1/2009,527.93,12/1/2009
166546,Aug-95,12430,3135.507949,8/1/2008,2483.36,12/1/2009
166683,Oct-79,10742,7305.786154,12/1/2010,204.6,5/1/2014
166747,Apr-00,2197,2831.89,4/1/2009,707.96,12/1/2009
167189,Oct-95,88,1587.33,10/1/2008,158.76,5/1/2016
167205,Sep-88,13867,17495.30684,12/1/2010,490.65,2/1/2011
167584,Jun-94,3943,4514,2/1/2009,322.49,2/1/2016
167645,Apr-97,5405,6778.258742,4/1/2010,3.94,7/1/2015
167846,Aug-99,12102,13441.00357,6/1/2010,7.17,6/1/2010
168100,Dec-95,18076,21557.49245,11/1/2010,5.19,11/1/2010
168190,Jun-93,4504,2529.27,8/1/2009,132.35,5/1/2016
168222,Aug-94,25852,27392.2032,11/1/2008,19106.22,10/1/2008
169044,Nov-85,32438,21805.83242,1/1/2011,636.34,12/1/2010
169254,Oct-90,20380,18867.74967,8/1/2009,8642.19,5/1/2016
169354,1-Oct,38054,5894.49,2/1/2009,3654.23,2/1/2009
169453,4-Jan,25,20479.9813,2/1/2009,12618,3/1/2014
169525,3-Jan,3305,10478.72198,1/1/2011,1.46,1/1/2011
169793,Mar-97,348,7894.73,2/1/2009,530.36,11/1/2009
170488,4-Mar,3015,5681.902201,7/1/2010,933.83,7/1/2010
170528,2-Apr,7336,14059.38537,12/1/2010,393.41,2/1/2016
170929,Oct-89,8644,10042.83051,1/1/2009,6432.48,12/1/2012
171220,Dec-97,93,18930.34,3/1/2009,200.01,5/1/2016
171298,Jan-00,2698,7830.665691,12/1/2010,225.5,12/1/2010
172644,Oct-94,19009,13996.25553,12/1/2010,391.12,11/1/2011
172802,Jul-72,498,5698.810312,12/1/2010,159.37,4/1/2016
173029,Dec-94,10358,8311.84,4/1/2010,416.62,9/1/2010
173981,Dec-72,2105,3701.247745,4/1/2010,902.55,7/1/2014
174377,Oct-99,2822,5480.64559,2/1/2010,1631.54,2/1/2010
175056,Jan-94,21004,23067.26757,1/1/2010,7446.74,6/1/2014
175147,Mar-00,11675,2942.427533,12/1/2010,85.43,5/1/2016
175193,4-Jul,3933,8587.161956,12/1/2010,242.56,12/1/2010
175582,Sep-96,7251,12060.06736,8/1/2010,1649.16,5/1/2016
176062,Oct-95,88,931.5,10/1/2008,93.23,5/1/2016
176206,Feb-95,1492,3450.932223,12/1/2010,100.22,5/1/2011
176610,2-Sep,7121,3453.794808,12/1/2010,98.46,12/1/2010
176942,Jul-99,17641,19576.92009,3/1/2010,1950.71,4/1/2010
176995,Jul-99,30946,12770.59,2/1/2009,859.07,12/1/2009
177075,Sep-91,0,17016.46038,12/1/2010,482.31,8/1/2015
177259,Aug-00,23391,19760.82237,1/1/2009,12719.24,1/1/2009
177913,Oct-91,16324,7930.939209,11/1/2009,2988.95,11/1/2009
178157,Aug-00,7104,5511.15,10/1/2009,50.03,2/1/2010
178236,2-Aug,9273,14193.34884,2/1/2010,4185.78,11/1/2010
178239,Dec-95,6718,8353.107275,12/1/2010,236.06,9/1/2015
178977,May-92,12017,7221.69,10/1/2008,802.47,5/1/2016
179020,Jan-93,5749,10976.02508,12/1/2010,307.06,12/1/2010
179897,Dec-94,6530,30103.87502,12/1/2010,837.68,12/1/2010
180005,Jun-00,2666,4444.32909,1/1/2010,1448.33,2/1/2013
180535,2-Apr,3761,4082.244935,12/1/2010,113.99,12/1/2010
180614,Apr-93,33698,30328.54577,12/1/2010,845.47,5/1/2016
180675,Oct-80,3472,13650.38,3/1/2009,817.41,5/1/2016
180712,Jun-89,14534,15179.28358,12/1/2010,435.85,12/1/2010
181036,Jun-00,6703,20705.86129,12/1/2010,580.97,12/1/2010
181590,Jan-96,5861,14580.70226,12/1/2010,407.18,12/1/2010
181701,4-Feb,5061,5914.503029,12/1/2009,2054.79,2/1/2010
182089,Feb-91,16888,24379.7862,12/1/2010,678.74,12/1/2015
182554,Jan-97,463,4747.534251,11/1/2010,15.13,3/1/2016
182589,Sep-98,0,10131.52284,11/1/2010,11.4,11/1/2010
182845,Dec-00,8283,26630.20565,9/1/2008,20210.86,11/1/2013
183801,Jul-98,46525,18185.5444,12/1/2010,506.84,11/1/2015
183936,Oct-00,2650,6413.832389,4/1/2010,253.09,4/1/2010
184296,Jul-90,17,12982.48,6/1/2009,898.85,5/1/2016
184562,Sep-95,827,2609.48,7/1/2008,319.54,1/1/2009
184908,4-Aug,961,1170.657129,1/1/2011,1.43,1/1/2011
185352,4-Aug,1554,6933.194512,12/1/2010,193.55,12/1/2010
185684,Feb-92,10753,14318.87,7/1/2009,764.64,7/1/2015
186499,Jul-97,2227,1110.813028,8/1/2010,185.8,
186572,Oct-79,7606,12347.21988,5/1/2008,11202.55,10/1/2015
186652,1-Nov,8355,10817.03,5/1/2010,200.22,5/1/2016
186840,1-Dec,27293,24740.98049,12/1/2010,693.79,12/1/2010
187464,Feb-00,10157,11555.4033,12/1/2010,325.23,12/1/2010
187671,Dec-94,4209,8654.61,10/1/2008,862.97,10/1/2009
188937,Jul-98,0,8110.596545,4/1/2008,609.58,2/1/2011
189379,Mar-97,1773,2912.210708,8/1/2008,2391.23,7/1/2008
190811,1-Sep,949,1111.46,6/1/2009,62.45,5/1/2016
190846,1-May,12308,7661.88,10/1/2008,851.41,5/1/2016
191006,Dec-96,7914,8802.18,1/1/2011,236.1,12/1/2010
191730,Nov-97,9150,24740.97669,1/1/2011,697.12,7/1/2014
192239,3-Jan,21777,22583.26677,7/1/2009,9417.16,3/1/2010
192299,Nov-00,4281,19362.44821,11/1/2010,1602.87,11/1/2014
192311,Dec-98,4475,10994.76631,4/1/2009,6502.24,6/1/2009
192616,Jun-97,25413,13865.29434,7/1/2010,2645.13,2/1/2015
193452,Dec-94,15043,11344.30276,1/1/2011,331.48,3/1/2016
193586,4-Apr,6353,10544.50197,1/1/2011,294.86,3/1/2013
193630,2-Sep,3737,4442.805382,12/1/2009,1685.2,11/1/2009
194565,Sep-92,11370,13800.92888,12/1/2010,771.89,11/1/2011
194762,Jul-79,18403,17924.18663,7/1/2009,9021.97,7/1/2009
195618,2-May,19504,7103.957781,5/1/2010,4.12,5/1/2010
195655,Jan-98,10463,20705.85042,1/1/2011,578.4,6/1/2012
196027,Nov-98,2808,3432.784025,12/1/2010,5.95,12/1/2010
196148,May-95,6297,17163.96246,10/1/2010,1902.2,10/1/2010
196380,Jun-86,33060,12246.55873,2/1/2010,9.87,2/1/2010
196428,Nov-00,4500,3793.02,8/1/2009,155.19,5/1/2016
196521,3-Feb,2344,21710.02702,6/1/2009,2860.41,6/1/2009
196559,Oct-90,2907,3335.229263,10/1/2010,9.61,10/1/2010
196574,May-95,26218,10959.49476,6/1/2010,2383.46,6/1/2010
196863,4-Jun,5967,5158.918623,11/1/2010,10.36,4/1/2011
196910,Mar-91,27786,7509.82,3/1/2010,288.89,5/1/2016
197019,Mar-91,27786,2092.44,12/1/2009,100.22,5/1/2016
197225,Oct-96,7335,13783.56639,1/1/2011,770.54,5/1/2016
197360,1-Jan,0,7094.10262,1/1/2011,198.7,4/1/2016
197558,Nov-88,19210,3020.761194,1/1/2011,84.87,1/1/2011
197959,Jun-00,11601,17333.13847,1/1/2011,484.25,5/1/2016
198285,2-May,991,9167.490701,11/1/2010,18.67,11/1/2010
198952,Nov-90,141287,2573.52762,6/1/2008,2263.15,8/1/2008
199055,1-Aug,199,3491.952643,1/1/2011,98.84,5/1/2016
199486,May-94,63580,3936.06,5/1/2009,325.38,10/1/2009
199575,Feb-93,773,4095.399215,5/1/2008,3722.88,12/1/2007
199889,3-Dec,1042,2390.717595,8/1/2010,77.64,7/1/2014
200256,3-Oct,137,13842.17,11/1/2010,406.07,4/1/2011
200600,Feb-95,1944,8690.585118,1/1/2011,247.31,5/1/2016
200805,Jul-88,16613,1878.56,11/1/2008,170.72,10/1/2009
200886,4-Nov,0,10578.56423,1/1/2011,300.6,1/1/2011
200912,Jan-91,5181,11495.17317,3/1/2011,204.17,3/1/2011
201285,Jul-98,597,2296.2633,1/1/2011,75.48,11/1/2013
201479,Mar-88,3202,7830.662309,1/1/2011,228.16,1/1/2011
201909,Aug-98,46086,24038.21873,1/1/2011,671.6,11/1/2015
202270,Apr-89,9380,1084.63,8/1/2008,133.55,4/1/2016
202379,Jan-96,35944,15160.90083,1/1/2011,424.78,1/1/2011
202406,1-Feb,0,12237.55048,1/1/2011,347.92,4/1/2016
202712,Jun-89,7973,13158.27006,1/1/2011,370.09,1/1/2011
202720,Nov-93,8522,10741.74719,2/1/2009,6980.96,2/1/2009
203367,Nov-98,62976,31565.86822,1/1/2011,894.15,1/1/2011
203424,3-Sep,7429,11411.55436,2/1/2011,336.72,2/1/2011
203532,Dec-00,639,3505.1,6/1/2008,701.12,12/1/2009
203554,Dec-92,14903,17459.75629,1/1/2011,487.31,7/1/2015
204428,Oct-96,2923,4807.629375,1/1/2011,137.6,7/1/2011
204576,Feb-92,18314,11809.38286,5/1/2008,10723.02,12/1/2007
206181,Sep-99,150,3862.93163,4/1/2010,5.54,4/1/2016
206360,Jun-97,0,8653.732987,1/1/2011,244.62,5/1/2016
206839,Jul-85,2475,2192.734085,10/1/2009,953.47,4/1/2016
207148,Feb-92,1489,2382.281123,1/1/2011,73,4/1/2016
207387,Mar-00,15368,11852.09877,1/1/2011,335.91,2/1/2011
207910,Jul-91,21521,2507.503437,2/1/2010,69.14,5/1/2016
208191,May-92,4781,5011.52,5/1/2009,313.3,5/1/2016
208594,Oct-95,8473,11657.50259,2/1/2010,3755.3,4/1/2016
208728,2-Dec,8494,10356.20856,3/1/2010,3338.15,3/1/2014
208827,Nov-92,11333,11344.3046,1/1/2011,320.57,1/1/2011
209349,May-93,9366,7308.94,10/1/2010,225.86,4/1/2016
209392,2-Jan,4922,2268.427808,1/1/2011,8.63,1/1/2011
209581,Jul-93,23129,3837.48,7/1/2008,536.57,1/1/2009
210194,Dec-98,29736,4546.311329,1/1/2011,127.74,5/1/2016
210287,Sep-84,67232,6920.103618,1/1/2011,193.32,4/1/2015
210778,Nov-93,0,3329.38039,6/1/2009,24.97,7/1/2014
210784,Nov-94,11496,11454.74588,1/1/2011,120.89,3/1/2015
210884,2-Jul,6999,8223.879531,1/1/2011,231.24,4/1/2016
211126,4-Feb,4863,2558.352222,12/1/2009,959.43,2/1/2010
211133,Nov-83,12229,582.5816055,7/1/2009,255.57,7/1/2009
211586,1-Apr,2325,4301.985404,4/1/2009,2679.13,4/1/2009
211723,2-Sep,14653,2135.14,8/1/2008,262.26,12/1/2009
211860,May-99,4286,8508.228536,1/1/2011,249.67,11/1/2012
212737,2-Sep,8009,9591.804505,3/1/2011,20.55,3/1/2011
212894,1-Jan,2353,1708.74,5/1/2009,101.47,12/1/2009
213020,Dec-95,6634,7817.990752,5/1/2010,1917.74,2/1/2014
213427,Aug-95,0,1375.913459,2/1/2010,446.66,6/1/2010
213551,Nov-98,5608,8891.963908,1/1/2011,248.61,1/1/2011
213732,Oct-94,13649,6119.25,9/1/2008,673.79,10/1/2009
213846,Sep-96,9973,2493.66127,3/1/2008,2414.08,11/1/2010
214363,Nov-00,16502,17971.19376,2/1/2011,501.05,1/1/2011
214388,May-97,15773,9689.47,4/1/2009,698.92,5/1/2016
214572,Jul-95,3326,28495.61291,3/1/2010,8473.6,3/1/2010
214968,3-Aug,7263,10428.70728,1/1/2011,297.88,4/1/2016
215142,Apr-87,3451,9529.172183,1/1/2011,279.69,1/1/2011
215531,Jul-81,16770,4192.553113,12/1/2010,88.99,3/1/2015
215577,1-May,17042,10573.56634,1/1/2011,301.72,1/1/2011
215865,Jul-95,10686,20282.04132,1/1/2011,567.29,10/1/2014
215897,Mar-98,45,11325.28305,3/1/2010,3679.27,2/1/2010
216013,3-Feb,3247,8304.095376,1/1/2011,232.08,8/1/2015
216083,Oct-00,27839,23176.0234,10/1/2008,17339.91,10/1/2008
216181,Nov-93,0,11239.64283,1/1/2011,314.2,1/1/2011
216508,Feb-72,17246,9034.177378,1/1/2011,260.83,1/1/2011
216540,Jan-91,14036,18521.53614,1/1/2011,521.82,12/1/2013
216698,Jul-94,5643,526.3322407,11/1/2008,180.61,12/1/2008
216940,Feb-95,17850,13399.6738,1/1/2011,373.21,5/1/2016
217041,1-Aug,8382,11242.19229,10/1/2009,4835.56,8/1/2014
217100,Sep-89,24280,18069.3712,9/1/2010,2448.29,12/1/2010
217118,Nov-99,8375,14886.31569,1/1/2011,415.69,1/1/2011
217723,Jun-00,6437,17459.75711,1/1/2011,489.14,1/1/2011
217788,Jul-90,16890,11075.3578,1/1/2011,310.73,2/1/2013
217987,4-Jun,887,4699.377677,1/1/2011,134.81,1/1/2011
218282,Jan-99,17771,3704.86,12/1/2008,370.59,5/1/2016
218325,Sep-85,13115,17127.72395,8/1/2008,13894.32,8/1/2008
218331,Aug-97,5028,7985.41,3/1/2010,640.05,7/1/2010
218343,1-Jun,1,1517.66,11/1/2009,140.34,3/1/2010
218680,2-Mar,10251,15837.04533,12/1/2010,4.95,11/1/2010
